 --------------------------------------------------
  #iter    #init      Sp(xstar)       ||g(xstar)||
 --------------------------------------------------
    27        1      5.374146E-03     4.965170E-03
    28        1      5.373911E-03     4.280561E-03
    29        1      5.373714E-03     4.245325E-03
    30        1      5.373510E-03     4.185543E-03
    31        1      5.372726E-03     8.492329E-03
    32        1      5.372420E-03     7.338360E-03
    33        1      5.371845E-03     9.718081E-03
    34        1      5.371356E-03     1.295185E-02
    35        1      5.371107E-03     6.680028E-03
    36        1      5.370989E-03     4.261593E-03
    37        1      5.370722E-03     9.517265E-03
    38        1      5.370684E-03     1.796066E-03
    39        1      5.370473E-03     7.530639E-03
    40        1      5.370465E-03     1.716309E-03
    41        1      5.370436E-03     1.561949E-03
    42        1      5.370411E-03     1.513547E-03
    43        1      5.370291E-03     7.390259E-03
    44        1      5.370287E-03     1.681638E-03
    45        1      5.370270E-03     1.239256E-03
    46        1      5.370251E-03     1.195239E-03
    47        1      5.370206E-03     1.383968E-03
    48        1      5.370057E-03     1.018066E-02
    49        1      5.370057E-03     2.292552E-03
    50        1      5.370047E-03     9.137770E-04
 --------------------------------------------------
 --------------------------------------------------
  #iter    #init      Sp(xstar)       ||g(xstar)||
 --------------------------------------------------
     1        0      6.439153E+01     2.846439E+00
     2        1      6.949284E+00     5.205814E+03
     3        1      8.324285E-01     1.699597E+03
     4        1      1.839970E-01     5.659082E+02
     5        1      1.099410E-01     1.624384E+02
     6        1      1.037126E-01     4.039940E+01
     7        1      5.002325E-02     2.198022E+01
     8        1      4.160113E-02     6.974300E+00
     9        1      2.380454E-02     8.047995E+01
    10        1      2.301498E-02     2.350643E+01
    11        1      2.233830E-02     2.003146E+01
    12        1      2.222681E-02     4.319086E+00
    13        1      1.918857E-02     3.580697E+01
    14        1      1.902395E-02     9.135200E+00
    15        7      1.898633E-02     4.879508E+00
    16        1      7.280076E-03     1.695548E+00
    17        1      5.988415E-03     5.695166E-01
    18        1      5.844570E-03     1.925821E-01
    19        1      5.828340E-03     5.753711E-02
    20        1      5.822664E-03     1.569746E-02
    21        1      5.820106E-03     1.510992E-02
    22        1      5.817570E-03     1.467357E-02
    23        1      5.804567E-03     7.476469E-02
    24        1      5.804567E-03     1.832151E-02
    25        1      5.793156E-03     8.911516E-02
    26        1      5.793155E-03     2.802435E-02
    27        1      5.792410E-03     5.914023E-03
    28        1      5.791889E-03     7.334234E-03
