 --------------------------------------------------
  #iter    #init      Sp(xstar)       ||g(xstar)||
 --------------------------------------------------
   151       19      5.944508E+01     5.033476E+01
   152       19      5.944508E+01     5.033476E+01
   153       19      5.944508E+01     5.033476E+01
   154       19      5.944508E+01     5.033476E+01
   155       19      5.944508E+01     5.033476E+01
   156       19      5.944508E+01     5.033476E+01
   157       19      5.944508E+01     5.033476E+01
   158       19      5.944508E+01     5.033476E+01
   159       19      5.944508E+01     5.033476E+01
   160       19      5.944508E+01     5.033476E+01
   161       19      5.944508E+01     5.033476E+01
   162       19      5.944508E+01     5.033476E+01
   163       19      5.944508E+01     5.033476E+01
   164       19      5.944508E+01     5.033476E+01
   165       19      5.944508E+01     5.033476E+01
   166       19      5.944508E+01     5.033476E+01
   167       19      5.944508E+01     5.033476E+01
   168       19      5.944508E+01     5.033476E+01
   169       19      5.944508E+01     5.033476E+01
   170       19      5.944508E+01     5.033476E+01
   171       19      5.944508E+01     5.033476E+01
   172       19      5.944508E+01     5.033476E+01
   173       19      5.944508E+01     5.033476E+01
   174       19      5.944508E+01     5.033476E+01
   175       19      5.944508E+01     5.033476E+01
   176       19      5.944508E+01     5.033476E+01
   177       19      5.944508E+01     5.033476E+01
   178       19      5.944508E+01     5.033476E+01
   179       19      5.944508E+01     5.033476E+01
   180       19      5.944508E+01     5.033476E+01
   181       19      5.944508E+01     5.033476E+01
   182       19      5.944508E+01     5.033476E+01
   183       19      5.944508E+01     5.033476E+01
   184       19      5.944508E+01     5.033476E+01
   185       19      5.944508E+01     5.033476E+01
   186       19      5.944508E+01     5.033476E+01
   187       19      5.944508E+01     5.033476E+01
   188       19      5.944508E+01     5.033476E+01
   189       19      5.944508E+01     5.033476E+01
   190       19      5.944508E+01     5.033476E+01
   191       19      5.944508E+01     5.033476E+01
   192       19      5.944508E+01     5.033476E+01
   193       19      5.944508E+01     5.033476E+01
   194       19      5.944508E+01     5.033476E+01
   195       19      5.944508E+01     5.033476E+01
   196       19      5.944508E+01     5.033476E+01
   197       19      5.944508E+01     5.033476E+01
   198       19      5.944508E+01     5.033476E+01
   199       19      5.944508E+01     5.033476E+01
   200       19      5.944508E+01     5.033476E+01
   201       19      5.944508E+01     5.033476E+01
   202       19      5.944508E+01     5.033476E+01
   203       19      5.944508E+01     5.033476E+01
   204       19      5.944508E+01     5.033476E+01
   205       19      5.944508E+01     5.033476E+01
   206       19      5.944508E+01     5.033476E+01
   207       19      5.944508E+01     5.033476E+01
   208       19      5.944508E+01     5.033476E+01
   209       19      5.944508E+01     5.033476E+01
   210       19      5.944508E+01     5.033476E+01
   211       19      5.944508E+01     5.033476E+01
   212       19      5.944508E+01     5.033476E+01
   213       19      5.944508E+01     5.033476E+01
   214       19      5.944508E+01     5.033476E+01
   215       19      5.944508E+01     5.033476E+01
   216       19      5.944508E+01     5.033476E+01
   217       19      5.944508E+01     5.033476E+01
   218       19      5.944508E+01     5.033476E+01
   219       19      5.944508E+01     5.033476E+01
   220       19      5.944508E+01     5.033476E+01
   221       19      5.944508E+01     5.033476E+01
   222       19      5.944508E+01     5.033476E+01
