 --------------------------------------------------
  #iter    #init      Sp(xstar)      ||gp(xstar)||
 --------------------------------------------------
   151        1      2.382078E-02     4.332668E-03
   152        1      2.380154E-02     4.404316E-03
   153        1      2.378165E-02     4.478403E-03
   154        1      2.376108E-02     4.555068E-03
   155        1      2.373979E-02     4.634475E-03
   156        1      2.371774E-02     4.716831E-03
   157        1      2.369488E-02     4.802094E-03
   158        1      2.367118E-02     4.890891E-03
   159        1      2.364658E-02     4.983158E-03
   160        1      2.362103E-02     5.078980E-03
   161        1      2.359447E-02     5.178940E-03
   162        1      2.356683E-02     5.283196E-03
   163        1      2.353805E-02     5.392218E-03
   164        1      2.350805E-02     5.506218E-03
   165        1      2.347675E-02     5.625518E-03
   166        1      2.344404E-02     5.750568E-03
   167        1      2.340984E-02     5.881945E-03
   168        1      2.337402E-02     6.020167E-03
   169        1      2.333646E-02     6.165243E-03
   170        1      2.329702E-02     6.321061E-03
   171        1      2.325554E-02     6.483288E-03
   172        1      2.321183E-02     6.655996E-03
   173        1      2.316569E-02     6.840066E-03
   174        1      2.311689E-02     7.036357E-03
   175        1      2.306516E-02     7.247000E-03
   176        1      2.301020E-02     7.472629E-03
   177        1      2.295162E-02     7.716852E-03
   178        1      2.288902E-02     7.981210E-03
   179        1      2.282190E-02     8.268691E-03
   180        1      2.274966E-02     8.583034E-03
   181        1      2.267155E-02     8.930160E-03
   182        1      2.258664E-02     9.317821E-03
   183        1      2.249389E-02     9.747949E-03
   184        1      2.239178E-02     1.023712E-02
   185        1      2.227854E-02     1.079608E-02
   186        1      2.215193E-02     1.143483E-02
   187        1      2.200869E-02     1.218113E-02
   188        1      2.184419E-02     1.308314E-02
   189        1      2.165200E-02     1.418663E-02
   190        1      2.142242E-02     1.557667E-02
   191        1      2.114038E-02     1.730666E-02
   192        1      2.078220E-02     1.970625E-02
   193        1      2.031352E-02     2.275746E-02
   194        1      1.967619E-02     2.679755E-02
   195        1      1.884834E-02     3.041147E-02
   196        1      1.794049E-02     3.039605E-02
   197        1      1.714010E-02     2.686344E-02
   198        1      1.662364E-02     2.101704E-02
   199        1      1.630998E-02     1.422887E-02
   200        1      1.617603E-02     9.085352E-03
   201        1      1.612722E-02     5.857410E-03
   202        1      1.610659E-02     3.598305E-03
   203        1      1.609924E-02     2.265742E-03
   204        1      1.609634E-02     1.414962E-03
   205        1      1.609518E-02     8.493205E-04
   206        1      1.609475E-02     4.982999E-04
   207        1      1.609461E-02     2.956982E-04
   208        1      1.609455E-02     1.606418E-04
   209        1      1.609454E-02     1.888493E-04
   210        1      1.609453E-02     1.662026E-04
   211        1      1.609453E-02     2.019828E-04
   212        1      1.609453E-02     6.141852E-05
 --------------------------------------------------
  0.25120084096975370       0.34585334215206504        3.1389986846190897E-002
